Текущее время: 2024-12-11 19:56:33, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 2/1397 36142
Текущее время: 2024-12-11 19:56:34, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 2/1397 36176
Текущее время: 2024-12-11 19:56:34, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 1/1397 36178
Текущее время: 2024-12-11 19:56:34, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 2/1397 36204
Текущее время: 2024-12-11 19:56:34, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 1/1397 36229
Текущее время: 2024-12-11 19:56:35, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 1/1397 36245
Текущее время: 2024-12-11 19:56:36, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 1/1397 36281
Текущее время: 2024-12-11 19:56:36, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.27 1.52 1.21 1/1397 36305
Текущее время: 2024-12-11 19:56:41, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.25 1.51 1.21 1/1397 36340
Текущее время: 2024-12-11 19:56:42, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.25 1.51 1.21 1/1397 36370
Текущее время: 2024-12-11 20:00:55, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.69 1.09 1.11 1/1414 36513
Текущее время: 2024-12-11 20:00:56, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.69 1.09 1.11 1/1414 36544
Текущее время: 2024-12-11 20:01:52, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.75 1.04 1.09 1/1431 36612
Текущее время: 2024-12-11 20:01:52, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.75 1.04 1.09 1/1431 36643
Текущее время: 2024-12-11 20:02:37, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.88 1.03 1.08 1/1429 36715
Текущее время: 2024-12-11 20:02:38, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.88 1.03 1.08 1/1429 36746
Текущее время: 2024-12-11 20:09:42, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.55 0.75 0.95 2/1432 36967
Текущее время: 2024-12-11 20:09:42, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.55 0.75 0.95 1/1432 36998
Текущее время: 2024-12-11 20:10:26, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.77 0.78 0.95 1/1432 37047
Текущее время: 2024-12-11 20:10:26, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.77 0.78 0.95 1/1432 37078
Текущее время: 2024-12-11 20:11:05, количество файлов: 5, размер файла: 1M, загрузка процессора: 2.05 1.07 1.04 1/1424 37150
Текущее время: 2024-12-11 20:11:05, количество файлов: 5, размер файла: 1M, загрузка процессора: 2.05 1.07 1.04 2/1424 37183
Текущее время: 2024-12-11 20:11:16, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.81 1.05 1.03 2/1430 37227
Текущее время: 2024-12-11 20:11:16, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.81 1.05 1.03 2/1430 37260
Текущее время: 2024-12-11 20:14:54, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 1/1399 37354
Текущее время: 2024-12-11 20:14:54, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 1/1399 37393
Текущее время: 2024-12-11 20:14:54, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 1/1399 37395
Текущее время: 2024-12-11 20:14:55, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 1/1399 37441
Текущее время: 2024-12-11 20:14:55, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 2/1399 37463
Текущее время: 2024-12-11 20:14:55, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 1/1399 37482
Текущее время: 2024-12-11 20:14:55, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 1/1399 37523
Текущее время: 2024-12-11 20:14:55, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.44 1.03 1.02 1/1399 37552
